algorithm,cores,iterations,size,latency,min,max
2,214,1000,262144.0,1485.2,92.94,2707.98
2,214,1000,524288.0,2967.8,161.47,5277.28
2,214,1000,1048576.0,7713.02,317.81,14132.17
0,138,1000,1.0,9.94,1.78,18.92
0,138,1000,2.0,12.16,0.58,20.63
0,138,1000,4.0,12.14,0.58,20.75
0,138,1000,8.0,12.81,0.58,22.13
0,138,1000,16.0,11.97,0.62,20.52
0,138,1000,32.0,12.23,0.59,20.51
0,138,1000,64.0,12.36,0.58,20.78
0,138,1000,128.0,14.32,0.64,23.24
0,138,1000,256.0,14.9,1.08,23.8
0,138,1000,512.0,15.55,1.24,24.33
0,138,1000,1024.0,16.45,1.51,25.25
0,138,1000,2048.0,18.34,1.03,28.01
0,138,1000,4096.0,20.76,1.33,30.34
0,138,1000,8192.0,27.7,2.1,38.73
0,138,1000,16384.0,85.62,4.02,151.4
0,138,1000,32768.0,80.63,12.55,98.47
0,138,1000,65536.0,270.46,15.34,460.19
0,138,1000,131072.0,631.52,39.94,963.49
0,138,1000,262144.0,1285.13,51.21,1916.55
0,138,1000,524288.0,2617.98,94.74,3813.93
0,138,1000,1048576.0,5145.84,186.77,7397.1
2,70,1000,1.0,19.03,0.86,38.73
2,70,1000,2.0,18.35,1.21,37.0
2,70,1000,4.0,18.82,1.14,38.04
2,70,1000,8.0,19.04,1.15,37.93
2,70,1000,16.0,18.14,1.21,36.52
2,70,1000,32.0,18.49,1.22,37.05
2,70,1000,64.0,19.26,1.2,38.92
2,70,1000,128.0,19.67,1.22,39.5
2,70,1000,256.0,24.25,1.62,47.65
2,70,1000,512.0,26.65,1.75,52.06
2,70,1000,1024.0,30.02,2.02,59.05
2,70,1000,2048.0,29.42,1.54,59.67
2,70,1000,4096.0,36.34,1.95,73.45
2,70,1000,8192.0,45.49,2.87,88.72
2,70,1000,16384.0,60.49,5.54,116.44
2,70,1000,32768.0,78.29,7.69,149.52
2,70,1000,65536.0,119.53,13.8,226.98
2,70,1000,131072.0,283.28,23.65,516.94
2,70,1000,262144.0,565.67,75.23,939.65
2,70,1000,524288.0,1109.22,154.06,1859.14
2,70,1000,1048576.0,2987.32,300.81,4957.5
2,194,1000,1.0,69.33,0.49,142.08
2,194,1000,2.0,67.18,0.56,137.78
2,194,1000,4.0,68.0,0.46,139.51
2,194,1000,8.0,70.57,0.57,139.57
2,194,1000,16.0,75.1,0.5,146.2
2,194,1000,32.0,68.33,0.5,138.2
2,194,1000,64.0,67.51,0.56,137.26
2,194,1000,128.0,70.29,0.88,142.53
2,194,1000,256.0,81.44,1.65,165.94
2,194,1000,512.0,91.0,2.09,182.05
2,194,1000,1024.0,94.23,2.6,191.06
2,194,1000,2048.0,97.42,1.52,196.8
2,194,1000,4096.0,111.61,2.07,223.54
2,194,1000,8192.0,134.28,3.22,267.89
2,194,1000,16384.0,174.06,6.53,345.58
2,194,1000,32768.0,229.41,11.25,446.27
2,194,1000,65536.0,549.91,20.91,1038.36
2,194,1000,131072.0,802.41,36.37,1441.27
2,194,1000,262144.0,1324.12,60.36,2416.39
2,194,1000,524288.0,2714.93,105.65,4830.24
2,194,1000,1048576.0,6181.45,193.32,11193.62
2,98,1000,1.0,30.62,0.44,64.29
2,98,1000,2.0,30.99,0.45,65.86
2,98,1000,4.0,28.48,0.44,60.28
2,98,1000,8.0,28.63,0.46,59.94
2,98,1000,16.0,28.31,0.46,59.34
2,98,1000,32.0,29.0,0.64,60.41
2,98,1000,64.0,30.17,0.63,62.84
2,98,1000,128.0,31.29,1.32,64.06
2,98,1000,256.0,36.92,2.0,75.22
2,98,1000,512.0,40.48,2.36,82.43
2,98,1000,1024.0,45.51,3.05,92.05
2,98,1000,2048.0,46.56,2.36,95.29
2,98,1000,4096.0,54.12,3.4,108.78
2,98,1000,8192.0,66.79,5.1,132.37
2,98,1000,16384.0,91.15,8.1,179.57
2,98,1000,32768.0,125.15,14.71,233.99
2,98,1000,65536.0,184.57,17.05,341.19
2,98,1000,131072.0,442.18,37.91,773.25
2,98,1000,262144.0,774.92,61.25,1339.07
2,98,1000,524288.0,1536.52,104.86,2638.19
2,98,1000,1048576.0,3220.34,198.81,5743.98
0,86,1000,1.0,8.68,1.25,16.26
0,86,1000,2.0,10.6,1.5,20.3
0,86,1000,4.0,9.29,1.34,17.34
0,86,1000,8.0,9.51,1.32,18.53
0,86,1000,16.0,9.44,1.38,17.55
0,86,1000,32.0,10.01,2.14,18.13
0,86,1000,64.0,9.95,2.02,18.16
0,86,1000,128.0,9.96,2.03,18.25
0,86,1000,256.0,9.43,2.4,17.67
0,86,1000,512.0,9.98,2.74,18.29
0,86,1000,1024.0,10.33,3.35,18.68
0,86,1000,2048.0,10.73,3.42,19.43
0,86,1000,4096.0,15.02,5.53,26.66
0,86,1000,8192.0,24.84,9.16,44.29
0,86,1000,16384.0,44.34,12.02,77.25
0,86,1000,32768.0,82.07,13.72,142.34
0,86,1000,65536.0,174.57,17.3,292.13
0,86,1000,131072.0,445.06,30.45,645.39
0,86,1000,262144.0,914.23,52.87,1299.81
0,86,1000,524288.0,1882.43,93.9,2623.82
0,86,1000,1048576.0,3682.79,186.59,5075.92
0,158,1000,1.0,11.18,1.83,20.1
0,158,1000,2.0,12.76,0.55,22.41
0,158,1000,4.0,12.5,0.56,21.58
0,158,1000,8.0,12.37,0.56,21.37
0,158,1000,16.0,13.33,0.54,22.68
0,158,1000,32.0,12.17,0.55,21.01
0,158,1000,64.0,12.28,0.54,21.0
0,158,1000,128.0,14.72,0.58,25.8
0,158,1000,256.0,15.38,1.05,24.7
0,158,1000,512.0,16.12,1.2,26.04
0,158,1000,1024.0,16.54,1.49,25.88
0,158,1000,2048.0,18.42,0.98,28.41
0,158,1000,4096.0,22.62,1.24,33.46
0,158,1000,8192.0,28.56,2.01,39.64
0,158,1000,16384.0,99.92,3.82,180.41
0,158,1000,32768.0,83.94,12.27,101.69
0,158,1000,65536.0,316.47,18.04,541.57
0,158,1000,131072.0,699.01,32.62,1085.33
0,158,1000,262144.0,1451.32,53.97,2174.37
