algorithm,cores,iterations,size,latency,min,max
0,26,1000,8.0,1.36,0.8,2.37
0,26,1000,16.0,1.36,0.77,2.37
0,26,1000,32.0,1.53,0.95,2.59
0,26,1000,64.0,1.52,0.94,2.57
0,26,1000,128.0,2.42,1.56,3.74
0,26,1000,256.0,2.43,1.53,3.73
0,26,1000,512.0,2.55,1.59,3.91
0,26,1000,1024.0,2.96,1.87,4.75
0,26,1000,2048.0,3.99,2.61,5.67
0,26,1000,4096.0,8.35,6.51,10.1
0,26,1000,8192.0,14.47,9.43,17.26
0,26,1000,16384.0,25.21,7.4,37.7
0,26,1000,32768.0,42.34,14.49,62.0
0,26,1000,65536.0,77.87,24.14,112.61
0,26,1000,131072.0,158.67,48.14,237.31
0,26,1000,262144.0,323.93,105.45,493.42
0,26,1000,524288.0,657.65,219.11,991.04
0,26,1000,1048576.0,1428.73,1165.88,1561.17
2,186,1000,1.0,14.9,1.05,30.68
2,186,1000,2.0,16.17,0.75,33.06
2,186,1000,4.0,16.61,0.96,33.97
2,186,1000,8.0,16.62,0.86,34.03
2,186,1000,16.0,15.98,0.96,34.31
2,186,1000,32.0,16.99,0.98,34.1
2,186,1000,64.0,23.22,0.99,43.84
2,186,1000,128.0,23.96,1.08,49.03
2,186,1000,256.0,20.04,1.26,39.54
2,186,1000,512.0,18.68,1.24,37.35
2,186,1000,1024.0,19.61,1.38,39.67
2,186,1000,2048.0,22.68,1.46,44.92
2,186,1000,4096.0,28.36,1.7,55.38
2,186,1000,8192.0,39.6,2.11,74.95
2,186,1000,16384.0,114.25,9.55,214.47
2,186,1000,32768.0,167.22,13.52,313.09
2,186,1000,65536.0,292.89,28.31,541.62
2,186,1000,131072.0,507.43,41.72,943.71
2,186,1000,262144.0,1050.43,78.6,1925.03
2,186,1000,524288.0,2159.78,156.9,3927.75
2,186,1000,1048576.0,4337.91,311.82,7879.03
2,90,1000,1.0,5.65,0.77,10.77
2,90,1000,2.0,5.86,0.91,11.38
2,90,1000,4.0,5.68,0.96,10.96
2,90,1000,8.0,5.67,0.99,10.96
2,90,1000,16.0,5.74,0.96,10.87
2,90,1000,32.0,6.04,0.99,11.52
2,90,1000,64.0,5.95,0.81,11.51
2,90,1000,128.0,7.39,0.99,14.07
2,90,1000,256.0,7.37,1.0,13.98
2,90,1000,512.0,7.83,1.1,14.49
2,90,1000,1024.0,8.6,1.04,15.9
2,90,1000,2048.0,10.68,1.09,20.06
2,90,1000,4096.0,13.59,1.3,25.29
2,90,1000,8192.0,20.44,1.75,37.36
2,90,1000,16384.0,60.96,10.01,108.85
2,90,1000,32768.0,96.81,17.62,173.45
2,90,1000,65536.0,164.61,38.59,282.03
2,90,1000,131072.0,308.64,81.19,520.69
